uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
DaveSeidel,2,0.5,1.0,0.3825249,0.13728029,sp-s
Dave_Girtsman,2,0.5,1.0,0.72003955,0.5501448,m-m
Drdumb,2,0.5,1.0,0.7308699,0.52406466,fx-n
DreamSweetInSeaMajor,2,0.5,0.5,0.85911995,0.59159756,ss-n
Electrocouak,2,0.5,0.5,0.5342612,0.40721497,is-s
Florent_Pico,2,0.5,0.5,0.6717486,0.50091887,ss-n
GarrisonHeeler,2,0.5,0.5,0.5101262,0.37856126,ss-i
Hedmarking,2,0.5,0.5,0.9160106,0.48228937,fx-n
Ittaisha,2,0.5,1.0,0.62718666,0.6088303,fx-o
Jhoanl,2,0.5,1.0,0.84637815,0.47783247,fx-h
Jpgv,2,0.5,1.0,0.3765464,0.29761335,ss-i
KM10,2,0.5,1.0,0.53616583,0.276055,fx-o
Karlos84,2,0.5,0.5,0.56155294,0.5354774,m-si
Karma_Gally,2,0.5,1.0,0.49324733,0.4916345,fx-el
Krizin,2,0.5,0.5,0.6904487,0.32021287,is-p
Lampesaks,2,0.5,0.5,0.46451825,0.24283661,fx-o
Lightblu3,2,0.5,0.5,0.68469,0.2080476,ss-u
LindaBarrans,2,0.5,0.5,0.902038,0.49792382,ss-i
Manauta222,2,0.5,1.0,0.6736529,0.45769098,ss-i
Markrichter,2,0.5,0.5,0.70872474,0.5040889,sp-s
STADSKNIETJES,2,0.5,0.5,0.68459576,0.20234425,ss-n
Segovax69,2,0.5,0.5,0.9932443,0.49652386,fx-o
SkivyMcSlightly,2,0.5,0.5,0.8666135,0.60454196,ss-n
SofieMC05348_J,2,0.5,1.0,0.74416864,0.60890937,fx-h
SpliceSound,2,0.5,1.0,0.46308035,0.42167294,fx-v
Starroom,2,0.5,1.0,0.7865579,0.2998536,ss-n
StayUzeless,2,0.5,0.5,0.6196667,0.35801807,ss-s
Steakhouse07,2,0.5,1.0,0.7263001,0.49601936,fx-h
StockingKitty,2,0.5,0.5,0.72205454,0.50754994,sp-s
Sueperlative,2,0.5,1.0,0.85613036,0.37426138,fx-m
T-H,2,0.5,0.5,0.86536247,0.4933098,ss-u
TannerMetro,2,0.5,1.0,0.90191007,0.43872118,fx-a
ThaisMontanari,2,0.5,0.5,0.8294509,0.48717913,ss-i
Thimblerig,2,0.5,0.5,0.611585,0.5086317,m-m
ThorAdam,2,0.5,1.0,0.46703115,0.42137414,ss-u
TimPryor,2,0.5,1.0,0.7975551,0.4079244,fx-el
V0iDin6,2,0.5,1.0,0.6836387,0.36257786,fx-o
Valevasquez,2,0.5,0.5,0.57790285,0.47853944,ss-i
Victoriaannecoleman,2,0.5,0.5,0.73085284,0.45509014,m-m
ViolettaSnape,2,0.5,0.5,0.5712982,0.46333644,ss-n
WalterPacheco,2,0.5,0.5,0.43521047,0.35777134,ss-u
Yoyamen1212,2,0.5,1.0,0.7643018,0.41499993,fx-a
bashrambali,2,0.5,0.5,0.660764,0.23802783,ss-n
bigblubber23,2,0.5,1.0,0.8108994,0.5765061,fx-o
billysulo,2,0.5,1.0,0.56695557,0.36138648,fx-o
bluedemon6,2,0.5,1.0,0.95666623,0.4747015,m-m
c64cosmin,2,0.5,1.0,0.56160235,0.2752678,fx-a
caroliney,2,0.5,0.5,0.9291656,0.47045025,ss-n
cchinarro,2,0.5,0.5,0.9740889,0.49578747,fx-o
codgold2,2,0.5,0.5,0.6316606,0.45155394,ss-n
deadrobotmusic,2,0.5,0.5,0.9063498,0.44397765,m-si
denkmal,2,0.5,0.5,0.86800766,0.57498366,ss-n
depomperttadeo,2,0.5,0.5,0.82992506,0.6193941,ss-n
documentasfuck,2,0.5,0.5,0.61844003,0.46184158,m-m
dogboy88686868,2,0.5,0.5,0.50654835,0.25374827,is-e
doylechurchill,2,0.5,0.5,0.6867045,0.49531353,fx-ex
dr_dig1,2,0.5,1.0,0.85858333,0.4626766,sp-s
drryd,2,0.5,0.5,0.966154,0.5023427,fx-o
drumhand,2,0.5,1.0,0.91830254,0.5377367,fx-o
drummy,2,0.5,1.0,0.7172797,0.55387515,fx-h
earthpages,2,0.5,0.5,0.78927356,0.4971495,ss-s
el_boss,2,0.5,1.0,0.92817765,0.46138623,fx-o
fly22,2,0.5,0.5,0.93901587,0.474507,m-si
frederic.font,2,0.5,0.5,0.70972323,0.7057639,ss-n
het_HCKM_DS_huis,2,0.5,0.5,0.69711417,0.47493395,fx-h
idomusics,2,0.5,1.0,0.89543587,0.5314108,fx-o
irenecantur,2,0.5,0.5,0.7386834,0.48046193,fx-o
jamesn257,2,0.5,0.5,0.91738087,0.50396866,fx-o
jeneantviderien,2,0.5,0.5,0.6934065,0.5859005,ss-n
jesterdyne,2,0.5,0.5,0.6597848,0.5280473,ss-s
khamoosh,2,0.5,0.5,0.83939487,0.3500002,ss-u
kirikkola,2,0.5,1.0,0.9838254,0.49627262,fx-o
lehn3372,2,0.5,1.0,0.7416283,0.3941258,fx-o
lonce,2,0.5,0.5,0.6082934,0.5102562,ss-n
maclegge,2,0.5,1.0,0.98206306,0.48926845,fx-o
markerb,2,0.5,0.5,0.44250077,0.39988756,fx-el
meisterleise,2,0.5,0.5,0.60823256,0.5749905,ss-u
melliug,2,0.5,1.0,0.7293148,0.29044357,fx-h
michalradacz,2,0.5,0.5,0.6132517,0.44119757,ss-u
minimilka,2,0.5,1.0,0.8992796,0.56943095,fx-o
musicartesano,2,0.5,1.0,0.85127234,0.48977357,fx-o
musselmox,2,0.5,1.0,0.98988664,0.49514258,fx-h
mysticvoices,2,0.5,0.5,0.77303326,0.45955625,is-w
naotokui,2,0.5,0.5,0.59533095,0.41363746,ss-n
nonamethefish,2,0.5,0.5,0.72839594,0.65435725,ss-n
null.ou,2,0.5,1.0,0.7460005,0.66888064,fx-o
ortseng,2,0.5,0.5,0.4850802,0.25758636,ss-i
ouija.media,2,0.5,1.0,0.8596808,0.42707643,fx-n
pandorabox02,2,0.5,1.0,0.83511305,0.4793535,fx-m
pepasystem,2,0.5,0.5,0.94019103,0.481978,fx-n
quetiapinvm,2,0.5,1.0,0.7754348,0.3113469,fx-ex
quetzalcontla,2,0.5,0.5,0.9681356,0.48592636,is-e
sarman1234,2,0.5,0.5,0.8958119,0.47909212,is-s
somewhereinjp,2,0.5,0.5,0.30649894,0.21127321,ss-u
stano458,2,0.5,1.0,0.82134247,0.44363102,fx-el
superEGsonic,2,0.5,1.0,0.8508214,0.49210513,fx-a
thsha1,2,0.5,1.0,0.9653027,0.52160794,fx-o
timouse,2,0.5,1.0,0.7649403,0.610712,m-m
timsc,2,0.5,1.0,0.8767963,0.42330292,fx-o
tonijsstrods,2,0.5,1.0,0.8215593,0.6227578,fx-m
tt_runscript,2,0.5,1.0,0.68772566,0.6454507,fx-m
upperleftfieldrecordings,2,0.5,0.5,0.6859909,0.6290174,ss-n
walldogmedia,2,0.5,0.5,0.7261659,0.32590324,m-m
waymonds,2,0.5,1.0,0.9134236,0.42624435,fx-o
xcehz,2,0.5,0.5,0.68164605,0.44893256,sp-s
zootook,2,0.5,0.5,0.6752199,0.38158858,ss-u
Vrymaa,45,0.5111111111111111,0.8,0.78807914,0.50739473,fx-o
hotpin7,29,0.5172413793103449,0.7931034482758621,0.73193306,0.4345706,fx-el
kevp888,144,0.5208333333333334,0.7569444444444444,0.73138046,0.48315382,ss-u
onionaire,23,0.5217391304347826,0.5217391304347826,0.80476457,0.5045402,ss-n
newlocknew,61,0.5245901639344263,0.639344262295082,0.7382918,0.4954215,ss-n
TuneSeeker,34,0.5294117647058824,0.9705882352941176,0.809618,0.47531548,fx-o
tim.kahn,47,0.5319148936170213,0.7021276595744681,0.73600304,0.52086025,ss-u
ali.g,15,0.5333333333333333,0.7333333333333333,0.82754844,0.5164883,ss-n
danielaolivares25,15,0.5333333333333333,0.7333333333333333,0.67697215,0.48156998,fx-h
dhi67540,108,0.5370370370370371,0.8796296296296297,0.8283039,0.48396203,fx-o
GAVOSNAYA,13,0.5384615384615384,0.6923076923076923,0.6980659,0.42738962,ss-u
webaudio360,13,0.5384615384615384,0.7692307692307693,0.69320965,0.39817566,m-m
FlavioConcini,76,0.5394736842105263,0.8026315789473685,0.8242563,0.5419269,m-m
iainmccurdy,24,0.5416666666666666,0.625,0.77143073,0.47691622,ss-n
Setuniman,11,0.5454545454545454,1.0,0.8015381,0.5950139,m-m
Snoops_Audio1,11,0.5454545454545454,0.6363636363636364,0.6819303,0.4637514,fx-el
compoargentino,11,0.5454545454545454,1.0,0.8083634,0.4753148,fx-h
klankschap,11,0.5454545454545454,0.8181818181818182,0.75760895,0.54517573,ss-u
deleted_user_9900733,18,0.5555555555555556,0.5555555555555556,0.819105,0.5148832,ss-n
ChrisDisk,9,0.5555555555555556,0.5555555555555556,0.8437561,0.51216286,ss-n
Dani_S.T.,9,0.5555555555555556,0.7777777777777778,0.56380767,0.5230956,ss-u
JadeW40,9,0.5555555555555556,1.0,0.85222405,0.5195041,fx-h
Mad_Boy_FSJler,9,0.5555555555555556,1.0,0.8111642,0.6424517,m-si
Nate_tha_Late,9,0.5555555555555556,0.6666666666666666,0.71992594,0.47570786,m-m
Sanderboah,9,0.5555555555555556,1.0,0.65025604,0.5453852,fx-o
its-slava,9,0.5555555555555556,0.6666666666666666,0.6669678,0.4568456,fx-el
upkey,9,0.5555555555555556,0.6666666666666666,0.7844556,0.5144732,ss-i
wrinkledsack,9,0.5555555555555556,1.0,0.91669124,0.54354805,fx-m
SpinOpel,50,0.56,0.96,0.83447134,0.5082754,fx-m
IENBA,16,0.5625,0.875,0.7036077,0.48139364,fx-o
marc.om,49,0.5714285714285714,0.6530612244897959,0.7424363,0.49317333,ss-u
Centraca,7,0.5714285714285714,1.0,0.7979608,0.5619154,fx-o
ChristmasKrumble666,7,0.5714285714285714,0.8571428571428571,0.7317857,0.41672316,m-si
FreqWincy,7,0.5714285714285714,1.0,0.7214474,0.51729476,fx-m
Stagno,7,0.5714285714285714,0.7142857142857143,0.7733926,0.5578702,ss-n
danfloyd,7,0.5714285714285714,0.5714285714285714,0.87318754,0.54217124,ss-n
flumpytripod,7,0.5714285714285714,0.5714285714285714,0.69796,0.55777174,ss-n
ines.morais,7,0.5714285714285714,0.7142857142857143,0.82721025,0.5399732,fx-o
melzzzzzzzz,7,0.5714285714285714,0.5714285714285714,0.78804314,0.5591837,ss-n
midge-f,7,0.5714285714285714,0.7142857142857143,0.70053256,0.43850034,is-e
rhnstnCowboy,7,0.5714285714285714,0.5714285714285714,0.7666133,0.53776044,ss-n
nicotep,71,0.5774647887323944,0.7464788732394366,0.7047576,0.4698266,ss-u
chemotroph,45,0.5777777777777777,0.6222222222222222,0.5900519,0.46143442,is-e
Metris,19,0.5789473684210527,0.7894736842105263,0.68930894,0.44225222,fx-el
AudioPapkin,60,0.5833333333333334,0.8666666666666667,0.71634907,0.5514199,fx-m
dibko,36,0.5833333333333334,0.8333333333333334,0.75518715,0.5317624,ss-u
newtad1,24,0.5833333333333334,0.7916666666666666,0.8015899,0.63262266,fx-h
kevinklang,12,0.5833333333333334,0.5833333333333334,0.6121866,0.4688872,is-k
MCKSingh,17,0.5882352941176471,0.9411764705882353,0.8457345,0.49829045,m-m
vincauc,22,0.5909090909090909,0.5909090909090909,0.7684192,0.5848168,ss-n
Geoff-Bremner-Audio,59,0.5932203389830508,0.9322033898305084,0.88629615,0.58037233,fx-o
Luisa_Sanchez,175,0.5942857142857143,0.9942857142857143,0.8256079,0.54854405,fx-h
tferrino,25,0.6,0.72,0.68433297,0.5363454,ss-u
MamickaBeeGames,20,0.6,0.8,0.81316584,0.61761284,fx-m
BobVoldar,15,0.6,0.6666666666666666,0.73239714,0.5743713,ss-n
ESKVY,10,0.6,0.7,0.7724111,0.53403074,fx-o
RutgerMuller,10,0.6,0.6,0.736367,0.5554925,ss-u
SoundsofTheMachine,10,0.6,0.9,0.7428361,0.54972744,fx-m
jules.jkh,10,0.6,1.0,0.6642975,0.6025155,ss-n
Crimsonblaze,5,0.6,1.0,0.9009452,0.52141416,fx-o
Danilox7x,5,0.6,1.0,0.8823892,0.5797349,fx-o
Dreadman247,5,0.6,1.0,0.65740484,0.37416458,fx-h
Huglex,5,0.6,1.0,0.8152753,0.53260744,fx-o
ImATaco,5,0.6,0.8,0.8772303,0.50528955,fx-o
Johnnie_Holiday,5,0.6,0.8,0.7596641,0.47581849,fx-el
Loredenii,5,0.6,0.6,0.8090415,0.5975652,ss-n
Massa.,5,0.6,1.0,0.6835048,0.518254,sp-s
PascalHD,5,0.6,0.6,0.6066848,0.40200597,ss-u
Podel1,5,0.6,1.0,0.58719784,0.5666692,ss-u
Shō_Kuzun,5,0.6,0.6,0.7645454,0.5401529,fx-h
ThatFluffyJello,5,0.6,1.0,0.70777786,0.5057024,ss-u
afonsobettencourt,5,0.6,0.6,0.85181844,0.5109382,ss-u
amandasal1478,5,0.6,1.0,0.89555025,0.6845203,fx-o
e.zeta,5,0.6,0.6,0.588169,0.38874596,ss-u
heidicolorado,5,0.6,1.0,0.8799931,0.5955138,fx-m
inchadney,5,0.6,1.0,0.66286725,0.49359632,ss-n
lepmus,5,0.6,0.6,0.7326759,0.50615764,is-p
matilde_camara,5,0.6,0.8,0.74378365,0.53366387,fx-v
Filmscore,106,0.6037735849056604,0.8679245283018868,0.75538605,0.5355499,fx-o
Philip_Goddard,44,0.6136363636363636,0.6136363636363636,0.757135,0.57096124,ss-n
NickTayloe,13,0.6153846153846154,0.8461538461538461,0.7333848,0.43011394,ss-n
SecureSubset,13,0.6153846153846154,0.7692307692307693,0.77569646,0.5174913,fx-a
SiliconeSound,13,0.6153846153846154,0.6153846153846154,0.70327663,0.58397764,ss-n
alexdarek,13,0.6153846153846154,0.8461538461538461,0.747592,0.5419923,ss-u
soundandmelodies,13,0.6153846153846154,0.7692307692307693,0.78012383,0.53587395,ss-n
oceansonmars,120,0.6166666666666667,0.8583333333333333,0.7771025,0.5434476,m-si
designerschoice,1804,0.6219512195121951,0.8758314855875832,0.77714705,0.57301635,fx-o
Mortebeu,16,0.625,0.6875,0.8263042,0.5802133,m-m
RealSquink,16,0.625,0.625,0.85313404,0.606764,ss-n
casperhazebeats,16,0.625,0.9375,0.6618148,0.5158186,fx-o
curious_world_on_youtube,16,0.625,0.75,0.8405111,0.55786693,ss-n
wjb_88,16,0.625,0.8125,0.898445,0.62470716,fx-o
lujainsameer,46,0.6304347826086957,0.8043478260869565,0.78314805,0.5408557,sp-s
mokasza,74,0.6351351351351351,0.8783783783783784,0.75200653,0.5395998,fx-el
qubodup,184,0.6358695652173914,0.8967391304347826,0.74322927,0.55329,fx-o
Atilio_Sanchez,11,0.6363636363636364,0.6363636363636364,0.6521799,0.49675596,ss-u
Oscar_Patrick,11,0.6363636363636364,0.9090909090909091,0.77822965,0.5001824,fx-v
shaunhillyard,11,0.6363636363636364,0.9090909090909091,0.880955,0.6716202,fx-o
Maadraim,36,0.6388888888888888,0.6666666666666666,0.6036628,0.49591202,is-e
tosha73,36,0.6388888888888888,0.75,0.84303147,0.67148376,fx-o
BogumilaMerc,39,0.6410256410256411,1.0,0.8929602,0.63829947,fx-o
Pixel_Stick,28,0.6428571428571429,1.0,0.76616514,0.62796885,fx-o
TyrantTim,31,0.6451612903225806,0.6451612903225806,0.8650263,0.6293227,sp-s
4r7i0_,17,0.6470588235294118,0.7647058823529411,0.7121029,0.5901563,fx-h
pnwheeler,17,0.6470588235294118,0.8823529411764706,0.77243966,0.54688793,fx-m
hanasmusic,111,0.6486486486486487,0.8198198198198198,0.72414774,0.5726478,fx-o
solarpsychedelic,20,0.65,0.7,0.73557997,0.6022168,m-si
Alpaca_Audio,66,0.6515151515151515,0.9545454545454546,0.8774021,0.6224912,fx-o
JelloApocalypse,29,0.6551724137931034,0.9310344827586207,0.8825681,0.6174459,fx-o
bitlab_coop,74,0.6621621621621622,0.7837837837837838,0.7709428,0.5769533,ss-u
bruno.auzet,60,0.6666666666666666,0.7666666666666667,0.7888759,0.62243056,ss-n
mrspivey,42,0.6666666666666666,0.9523809523809523,0.74241465,0.5830039,fx-o
Universfield,18,0.6666666666666666,0.8888888888888888,0.75856286,0.59601027,ss-s
quehablas,18,0.6666666666666666,0.9444444444444444,0.8213373,0.62992597,ss-u
elvish_paisley,15,0.6666666666666666,0.6666666666666666,0.56329226,0.49014872,fx-ex
DOM2146115,12,0.6666666666666666,1.0,0.8372051,0.6446032,fx-h
soalexandras00,12,0.6666666666666666,0.8333333333333334,0.6952434,0.5526602,fx-n
Artistic_Dragonborn,9,0.6666666666666666,0.7777777777777778,0.80083895,0.51091623,fx-o
SlimFordy,9,0.6666666666666666,1.0,0.8209856,0.6665615,m-m
nicorico_120,9,0.6666666666666666,0.8888888888888888,0.80924624,0.67698437,m-m
petercornell,9,0.6666666666666666,0.8888888888888888,0.85058606,0.6532296,fx-h
sabrinaaiuijijiji,9,0.6666666666666666,1.0,0.8450541,0.66583943,fx-o
selsel,9,0.6666666666666666,0.6666666666666666,0.7424466,0.51197344,ss-n
DAX_MAN,6,0.6666666666666666,1.0,0.9092522,0.6675069,fx-o
Helpersounds,6,0.6666666666666666,1.0,0.65918726,0.531584,m-sp
Ignat,6,0.6666666666666666,0.6666666666666666,0.78164095,0.69975406,ss-u
MathewGuerrero,6,0.6666666666666666,1.0,0.899659,0.65126425,fx-h
RICHERlandTV,6,0.6666666666666666,0.8333333333333334,0.6959974,0.49816927,fx-h
S0LKER,6,0.6666666666666666,0.8333333333333334,0.91087884,0.596787,m-sp
SwitchDs,6,0.6666666666666666,1.0,0.6956361,0.6310207,fx-el
babybus,6,0.6666666666666666,0.6666666666666666,0.6978567,0.5017917,ss-u
bernardogc,6,0.6666666666666666,0.6666666666666666,0.92336273,0.6074869,m-sp
deleted_user_17997942,6,0.6666666666666666,0.8333333333333334,0.9572291,0.63933843,fx-o
feeldeagua,6,0.6666666666666666,0.8333333333333334,0.720114,0.6617804,is-p
sandhill0818,6,0.6666666666666666,0.8333333333333334,0.79580826,0.6333875,fx-el
smekk,6,0.6666666666666666,1.0,0.8448815,0.5767867,m-si
27Silva,3,0.6666666666666666,1.0,0.9257431,0.60795885,m-si
AgusIvan,3,0.6666666666666666,1.0,0.9696776,0.64843845,fx-o
AkiYaSuShi,3,0.6666666666666666,1.0,0.9874094,0.6623766,fx-o
Anonio82,3,0.6666666666666666,1.0,0.8003988,0.49691322,fx-el
Breaksmatter2006,3,0.6666666666666666,1.0,0.9329138,0.6406507,m-m
Chmuche,3,0.6666666666666666,0.6666666666666666,0.7819302,0.5239815,ss-n
CoolGuy198,3,0.6666666666666666,1.0,0.7232652,0.68588704,fx-el
Dark_Rihardd,3,0.6666666666666666,1.0,0.7826838,0.74751264,fx-n
DuranBurrus,3,0.6666666666666666,1.0,0.7620549,0.7036996,fx-o
GrayEpic,3,0.6666666666666666,1.0,0.60286033,0.50486726,fx-ex
Heosound,3,0.6666666666666666,1.0,0.76939124,0.56313497,fx-ex
Hinoki.owo,3,0.6666666666666666,0.6666666666666666,0.5100121,0.22987056,ss-u
IanGW,3,0.6666666666666666,0.6666666666666666,0.8329379,0.509087,ss-n
James_Bullen,3,0.6666666666666666,0.6666666666666666,0.83772355,0.6465184,ss-u
KhaledDZ,3,0.6666666666666666,0.6666666666666666,0.7175785,0.40740016,ss-n
LogicMoon,3,0.6666666666666666,0.6666666666666666,0.6448391,0.51221925,ss-s
MAGS1330,3,0.6666666666666666,1.0,0.8106685,0.65721494,fx-h
OttisG,3,0.6666666666666666,1.0,0.71722203,0.61572784,m-m
PKCubed,3,0.6666666666666666,1.0,0.6224078,0.51582044,ss-n
RTB45,3,0.6666666666666666,1.0,0.7412648,0.536458,m-m
Ravetracer,3,0.6666666666666666,0.6666666666666666,0.9245377,0.6954859,fx-n
RdmnPrd,3,0.6666666666666666,1.0,0.87992334,0.5556516,fx-m
SondreDrakensson,3,0.6666666666666666,0.6666666666666666,0.63513273,0.35411224,m-m
SonoRec,3,0.6666666666666666,1.0,0.7082929,0.41069543,fx-n
T2BC5,3,0.6666666666666666,1.0,0.76001835,0.4340478,fx-el
Vsessa,3,0.6666666666666666,1.0,0.631288,0.5611485,fx-o
Watchforsnakes,3,0.6666666666666666,1.0,0.7064397,0.69878554,fx-a
Woidman,3,0.6666666666666666,0.6666666666666666,0.82249165,0.66065747,m-si
astonedf,3,0.6666666666666666,1.0,0.9731404,0.6523098,fx-o
basswf,3,0.6666666666666666,1.0,0.7123068,0.6573479,fx-n
bowlingballout,3,0.6666666666666666,1.0,0.93556875,0.67928714,fx-h
crosstevsky,3,0.6666666666666666,1.0,0.8411622,0.7644263,ss-n
emma.emma.emma,3,0.6666666666666666,1.0,0.8511893,0.60875416,m-sp
exploraciones.sonoras,3,0.6666666666666666,1.0,0.81828475,0.51876515,ss-u
felix.blume,3,0.6666666666666666,0.6666666666666666,0.59783036,0.50798666,fx-a
floatby,3,0.6666666666666666,1.0,0.6332086,0.4532697,fx-m
fnakez,3,0.6666666666666666,1.0,0.60627615,0.5117612,m-m
habibasallam,3,0.6666666666666666,1.0,0.68286794,0.36854997,ss-u
haulaway,3,0.6666666666666666,1.0,0.80740744,0.75949925,fx-o
heklei,3,0.6666666666666666,0.6666666666666666,0.75938386,0.70844084,fx-o
himura.kazuto,3,0.6666666666666666,0.6666666666666666,0.7368563,0.5593401,ss-u
hokeshaun83,3,0.6666666666666666,0.6666666666666666,0.821016,0.6597627,is-s
huw2k8,3,0.6666666666666666,1.0,0.3513664,0.31289116,fx-a
ibrizie,3,0.6666666666666666,0.6666666666666666,0.9676724,0.6373207,fx-m
ikbenraar,3,0.6666666666666666,0.6666666666666666,0.5884003,0.5803269,fx-a
isopod4,3,0.6666666666666666,1.0,0.6313321,0.53753686,fx-o
jn.,3,0.6666666666666666,1.0,0.8424135,0.7381196,m-si
kd33n,3,0.6666666666666666,1.0,0.92158955,0.66013646,fx-o
kynodelia,3,0.6666666666666666,0.6666666666666666,0.76404095,0.54936695,ss-n
mbanga,3,0.6666666666666666,1.0,0.94320697,0.63947326,fx-o
mk-audio,3,0.6666666666666666,0.6666666666666666,0.7870248,0.7148097,ss-n
nfrae,3,0.6666666666666666,1.0,0.5065849,0.4053024,fx-el
notjabezaguilar,3,0.6666666666666666,1.0,0.70936584,0.5896662,fx-o
raul0617,3,0.6666666666666666,0.6666666666666666,0.96095806,0.6597931,fx-o
twiciasty,3,0.6666666666666666,0.6666666666666666,0.78215903,0.62762684,ss-u
waveplaySFX,3,0.6666666666666666,0.6666666666666666,0.8515851,0.6538473,ss-s
Johnmode,40,0.675,0.825,0.7139547,0.55021024,m-m
Jupo_22,40,0.675,0.675,0.6691585,0.58315927,fx-v
Robo9418,37,0.6756756756756757,1.0,0.7711455,0.5770818,fx-o
neopolitansixth,28,0.6785714285714286,0.9642857142857143,0.60079366,0.51269084,fx-el
Artninja,162,0.6790123456790124,0.9629629629629629,0.74667567,0.6040767,fx-o
MeanRaccoon,47,0.6808510638297872,0.9574468085106383,0.89943534,0.67595816,fx-o
klankbeeld,618,0.6812297734627831,0.883495145631068,0.8173203,0.6264185,ss-u
Fizzel136,16,0.6875,0.8125,0.6529225,0.54646343,is-e
TheSoundLibrary,45,0.6888888888888889,0.9111111111111111,0.7787423,0.6180478,m-m
Boatlanman-,13,0.6923076923076923,0.7692307692307693,0.6705824,0.523918,m-si
YannSauvin,13,0.6923076923076923,0.9230769230769231,0.80348337,0.66363895,ss-n
eftos,13,0.6923076923076923,0.6923076923076923,0.8340344,0.5968117,ss-s
TECNOBAITA,53,0.6981132075471698,0.7924528301886793,0.7369758,0.6125922,fx-o
giddster,83,0.6987951807228916,0.8072289156626506,0.8249646,0.6492792,fx-o
swilkie,10,0.7,0.8,0.6359725,0.48426715,ss-n
vhio,47,0.7021276595744681,0.8936170212765957,0.7730823,0.61154,ss-u
Mihacappy,138,0.7028985507246377,0.9565217391304348,0.81143075,0.6518856,fx-o
AcidKekkonen,54,0.7037037037037037,0.9074074074074074,0.84425265,0.68420994,m-si
Sadiquecat,1125,0.704,0.8471111111111111,0.814488,0.6466575,sp-s
zxxpgpnxvbhp,44,0.7045454545454546,0.7045454545454546,0.7986988,0.6004544,fx-v
AlienXXX,17,0.7058823529411765,1.0,0.7355566,0.6031924,fx-o
gaussiansoundco,17,0.7058823529411765,1.0,0.39190152,0.3684549,fx-el
HOrvi64,28,0.7142857142857143,0.9285714285714286,0.89421546,0.6992795,fx-o
Walking.With.Microphones,21,0.7142857142857143,0.7142857142857143,0.75378484,0.6610894,fx-v
mmiron,14,0.7142857142857143,0.9285714285714286,0.9264087,0.7123083,ss-n
BorzSounds,7,0.7142857142857143,1.0,0.80948895,0.5885092,fx-o
FelixRollSound,7,0.7142857142857143,0.8571428571428571,0.80776256,0.5739418,ss-n
Khong_Ten,7,0.7142857142857143,0.8571428571428571,0.70665133,0.46340066,m-m
L.Finck,7,0.7142857142857143,0.7142857142857143,0.77310985,0.5702805,ss-n
ROllerozxa,7,0.7142857142857143,0.8571428571428571,0.76074547,0.6745257,sp-s
ava_berardi,7,0.7142857142857143,0.7142857142857143,0.7885489,0.6743273,ss-u
bigheinze,7,0.7142857142857143,0.8571428571428571,0.70334184,0.6202274,is-p
cathy.doss,7,0.7142857142857143,0.8571428571428571,0.580378,0.36405247,ss-u
joao44,7,0.7142857142857143,0.7142857142857143,0.9181408,0.70535356,ss-u
sounds_from_palestine,111,0.7207207207207207,0.8828828828828829,0.7734054,0.6236125,ss-u
akelley6,61,0.7213114754098361,0.819672131147541,0.75860775,0.64327914,fx-el
AlaskanMariner,11,0.7272727272727273,0.7272727272727273,0.7838152,0.58923167,ss-n
Safo12,11,0.7272727272727273,0.8181818181818182,0.562625,0.49382526,fx-v
hayley.suviste,11,0.7272727272727273,0.7272727272727273,0.94986016,0.6998832,ss-n
ForestVibes,26,0.7307692307692307,0.8076923076923077,0.7754459,0.688538,fx-a
JW_Audio,380,0.7394736842105263,0.8789473684210526,0.7476312,0.61993325,fx-el
Mayro88,47,0.7446808510638298,0.7446808510638298,0.79375106,0.7102562,is-e
1LOVE,51,0.7450980392156863,0.8627450980392157,0.7884222,0.6230234,m-si
hkyiyi,56,0.75,0.75,0.6035952,0.57403606,fx-v
justamudkip,16,0.75,1.0,0.84642756,0.6548806,fx-o
HappyPizzaBread,12,0.75,0.75,0.8145838,0.69411117,fx-el
AlexMilsom,8,0.75,1.0,0.82964194,0.5893307,ss-u
Elchap,8,0.75,0.875,0.78921324,0.74684644,fx-o
JanRou,8,0.75,0.75,0.88997686,0.66213584,ss-n
Nomagician,8,0.75,0.875,0.74082613,0.62138015,fx-el
Agnivolok,4,0.75,0.75,0.71211314,0.5621437,fx-m
AnnaBaX01Q,4,0.75,1.0,0.9133436,0.70328104,m-m
Fr3pass,4,0.75,1.0,0.73846704,0.5498203,sp-s
FusionWolf3740,4,0.75,0.75,0.8257525,0.71138185,fx-el
HushAndHarmonyNow,4,0.75,1.0,0.72195184,0.5987439,ss-u
NovaSoundTechnology,4,0.75,0.75,0.7153585,0.47389716,is-p
P.Romeijn,4,0.75,0.75,0.5691396,0.4519161,ss-n
RichardFEDERMANN,4,0.75,0.75,0.5593277,0.54943156,ss-u
Rico_Casazza,4,0.75,0.75,0.6506771,0.61582696,ss-n
Sabacky,4,0.75,1.0,0.7674743,0.5749952,fx-m
anielanielaniel,4,0.75,1.0,0.9724613,0.7257992,fx-o
brennanjeppson,4,0.75,1.0,0.89904636,0.6905848,m-si
clif_creates,4,0.75,0.75,0.8390018,0.6972999,ss-n
feres12,4,0.75,1.0,0.8750215,0.7099179,m-m
goony124,4,0.75,1.0,0.852728,0.73349226,fx-h
javidiaz14,4,0.75,1.0,0.47801542,0.46779606,ss-u
